Rg	Dos.	Favoris	Vidéo	NOM Prénom	Tps	Cat	Rg/Cat	Rg/S	Equipe	TOD	Swim	Cycle	Run	Swim	Cycle	Run
490	907			Serge PAGE	02:47:33	VEM	246	477	POMONA |	17:31:24	00:38:58	01:20:58	00:47:36	00:38:58	01:20:58	00:47:36
491	859			Ludovic THERETZ	02:47:37	SEM	227	478	HINGES LES BAUDETS	17:31:28	00:36:19	01:18:16	00:53:01	00:36:19	01:18:16	00:53:01
492	141			Louis MARCONNET	02:47:37	SEM	228	479	TRI COTE D AMOUR	17:31:28	00:39:57	01:20:48	00:46:51	00:39:57	01:20:48	00:46:51
493	214			Marc CENAC	02:47:40	VEM	247	480	TOBESPORT	17:31:32	00:43:25	01:19:24	00:44:50	00:43:25	01:19:24	00:44:50
494	1007			Maxime LENDORMY	02:47:43	SEM	229	481	TOURS	17:31:35	00:39:17	01:22:31	00:45:53	00:39:17	01:22:31	00:45:53
495	854			Christophe BOUTIN	02:47:49	VEM	248	482	SAINTE-MARIE-DE-RE	17:31:40	00:40:19	01:16:28	00:51:00	00:40:19	01:16:28	00:51:00
496	391			Philippe ROSSIGNOL	02:47:50	VEM	249	483	ENTENTE SPORTIVE NANTERRE	17:31:42	00:43:20	01:16:08	00:48:21	00:43:20	01:16:08	00:48:21
497	576			Fabien DHAINAUT	02:47:59	SEM	230	484	WILD TEAM TRI	17:31:51	00:41:17	01:18:26	00:48:15	00:41:17	01:18:26	00:48:15
498	94			Nicholas MARRA	02:48:00	VEM	250	485	TRI CLUB NANTAIS	17:31:52	00:40:17	01:16:02	00:51:40	00:40:17	01:16:02	00:51:40
499	343			Samuel BANCE	02:48:03	VEM	251	486	ROUEN TRIATHLON	17:31:55	00:38:45	01:17:11	00:52:06	00:38:45	01:17:11	00:52:06
500	712			Vincent JAUD	02:48:07	VEM	252	487	LAVAL	17:31:59	00:40:29	01:17:04	00:50:34	00:40:29	01:17:04	00:50:34
501	441			Jerome HURTADO DE MENDOSA	02:48:11	VEM	253	488	TRI ST BARTH	17:32:03	00:37:46	01:18:26	00:51:58	00:37:46	01:18:26	00:51:58
502	539			Cedric PERRIGAUD	02:48:12	VEM	254	489	LA ROCHELLE TRI	17:32:04	00:40:53	01:16:48	00:50:30	00:40:53	01:16:48	00:50:30
503	862			Marc LE SAUSSE	02:48:14	SEM	231	490	TOULOUSE TRIATHLON	17:32:06	00:39:31	01:11:11	00:57:31	00:39:31	01:11:11	00:57:31
504	619			Mathieu RIVALAIN	02:48:15	SEM	232	491	LORIENT TRI FLK	17:32:06	00:38:22	01:19:06	00:50:46	00:38:22	01:19:06	00:50:46
505	651			Yves VINCENT	02:48:16	VEM	255	492	AAS FRESNES TRI	17:32:08	00:39:52	01:16:30	00:51:53	00:39:52	01:16:30	00:51:53
506	820			Vincent NOYET	02:48:17	SEM	233	493	BEAUCOUZE	17:32:09	00:43:12	01:17:39	00:47:25	00:43:12	01:17:39	00:47:25
507	510			Christophe PREMEL	02:48:24	VEM	256	494	ATHLETIC RETZ SUD LAC	17:32:16	00:41:27	01:16:33	00:50:23	00:41:27	01:16:33	00:50:23
508	349			Dominique DALLE MOLLE	02:48:27	VEM	257	495	TRI CLUB DE VILLEPARISIS	17:32:18	00:42:03	01:19:40	00:46:42	00:42:03	01:19:40	00:46:42
509	143			David PHILIPPE	02:48:38	VEM	258	496	TRI COTE D AMOUR	17:32:30	00:37:16	01:16:28	00:54:54	00:37:16	01:16:28	00:54:54
510	579			Guillaume CAMUT	02:48:47	SEM	234	497	WILD TEAM TRI	17:32:39	00:43:30	01:18:24	00:46:53	00:43:30	01:18:24	00:46:53
511	585			Olivier JULIENNE	02:48:48	VEM	259	498	TRI COTE D EMERAUDE	17:32:39	00:36:09	01:21:20	00:51:19	00:36:09	01:21:20	00:51:19
512	215			Guillaume CHAILLOUX	02:48:53	SEM	235	499	TOBESPORT	17:32:45	00:43:31	01:19:18	00:46:03	00:43:31	01:19:18	00:46:03
513	799			Jerome DORISON	02:48:54	VEM	260	500	NANTES	17:32:45	00:38:22	01:21:49	00:48:41	00:38:22	01:21:49	00:48:41
514	544			Beatrice IKEN	02:48:56	VEF	2	14	LA ROCHELLE TRI	17:32:48	00:40:56	01:19:05	00:48:55	00:40:56	01:19:05	00:48:55
515	681			Victor POMMIER	02:48:56	SEM	236	501	TALUYERS	17:32:48	00:43:16	01:18:00	00:47:40	00:43:16	01:18:00	00:47:40
516	873			Anne-Sophie JOLLY	02:48:57	SEF	12	15	PAYS DE ST GILLES CROIX DE VIE VENDEE TRI	17:32:49	00:41:00	01:18:59	00:48:57	00:41:00	01:18:59	00:48:57
517	36			Patrice CLUIS	02:48:59	VEM	261	502	TRI ATLANTIQUE CARQUEFOU	17:32:51	00:42:01	01:13:09	00:53:49	00:42:01	01:13:09	00:53:49
518	943			Jean Marc DIEUDONNE	02:49:01	VEM	262	503	VERSAILLES TRI	17:32:52	00:41:51	01:15:24	00:51:44	00:41:51	01:15:24	00:51:44
519	913			Stephane LANOUE	02:49:06	VEM	263	504	L HAƒ-LES-ROSES	17:32:58	00:38:25	01:19:30	00:51:10	00:38:25	01:19:30	00:51:10
520	678			Gerard MEYER	02:49:09	VEM	264	505	VERTOU	17:33:00	00:38:47	01:17:14	00:53:08	00:38:47	01:17:14	00:53:08
521	901			Naim KHYARI	02:49:09	VEM	265	506	MANITOU |	17:33:01	00:41:37	01:16:05	00:51:26	00:41:37	01:16:05	00:51:26
522	246			Jean-Marie BLANCHOUIN	02:49:12	SEM	237	507	CHATEAU GONTIER TRI	17:33:04	00:46:10	01:13:43	00:49:18	00:46:10	01:13:43	00:49:18
523	46			Joel CAHIER	02:49:16	VEM	266	508	TRI CLUB CLISSONNAIS	17:33:08	00:41:23	01:13:26	00:54:26	00:41:23	01:13:26	00:54:26
524	348			Franck BUISSONNIER	02:49:19	VEM	267	509	TRI CLUB DE VILLEPARISIS	17:33:11	00:39:12	01:18:23	00:51:43	00:39:12	01:18:23	00:51:43
525	879			Xavier LE BOT	02:49:22	VEM	268	510	USA TRIATHLON	17:33:14	00:40:54	01:20:17	00:48:10	00:40:54	01:20:17	00:48:10
526	296			Mickael GONSARD	02:49:23	VEM	269	511	MAT 72  LE MANS ASSOCIATION TRIA	17:33:15	00:38:51	01:17:42	00:52:49	00:38:51	01:17:42	00:52:49
527	606			Laurent BABEY	02:49:34	VEM	270	512	RACING MULTI ATHLON	17:33:26	00:40:46	01:19:22	00:49:25	00:40:46	01:19:22	00:49:25
528	396			Alain LOULIGI	02:49:34	VEM	271	513	ISSY TRI	17:33:26	00:40:42	01:14:58	00:53:53	00:40:42	01:14:58	00:53:53
529	17			Marc PAYRAUDEAU	02:49:35	VEM	272	514	SAINT HERBLAIN TRI	17:33:27	00:44:13	01:13:55	00:51:25	00:44:13	01:13:55	00:51:25
530	389			Ludovic JOLY	02:49:37	VEM	273	515	ENTENTE SPORTIVE NANTERRE	17:33:29	00:44:50	01:14:18	00:50:28	00:44:50	01:14:18	00:50:28
531	737			Simon NIEL	02:49:44	SEM	238	516		17:33:35	00:42:50	01:22:20	00:44:32	00:42:50	01:22:20	00:44:32
532	185			Olivier GOULARD	02:49:53	VEM	274	517	ANJOU TRI TRELAZE	17:33:45	00:39:52	01:15:36	00:54:24	00:39:52	01:15:36	00:54:24
533	633			Gwenhael DOBELI	02:49:54	VEF	3	16	CA VILLENAVE D ORNON TRI	17:33:46	00:38:50	01:15:54	00:55:09	00:38:50	01:15:54	00:55:09
534	458			Laurent BRANGEON	02:49:55	VEM	275	518	PAYS D ANCENIS CLUB TRI 44	17:33:47	00:41:34	01:13:39	00:54:41	00:41:34	01:13:39	00:54:41
535	353			Philippe PLUNIAN	02:50:05	VEM	276	519	TRI CLUB DE VILLEPARISIS	17:33:56	00:46:30	01:21:05	00:42:29	00:46:30	01:21:05	00:42:29
536	123			Kim Denis DANAIS	02:50:08	VEM	277	520	TRI COTE D AMOUR	17:34:00	00:39:36	01:12:34	00:57:57	00:39:36	01:12:34	00:57:57
537	962			Christophe NASSIVET	02:50:09	VEM	278	521	LA ROCHE VENDEE TRI	17:34:01	00:43:46	01:17:03	00:49:20	00:43:46	01:17:03	00:49:20
538	1012			Laurent CHEBRET	02:50:14	VEM	279	522	SAINT-DENIS-EN-VAL	17:34:06	00:44:46	01:17:03	00:48:24	00:44:46	01:17:03	00:48:24
539	647			Sebastien HUDUT	02:50:15	SEM	239	523	AS ENERGY 91 TRI	17:34:06	00:45:16	01:15:04	00:49:54	00:45:16	01:15:04	00:49:54
540	152			Eric TESSIER	02:50:18	VEM	280	524	TRI COTE D AMOUR	17:34:09	00:40:26	01:14:02	00:55:49	00:40:26	01:14:02	00:55:49
541	211			Maxime BUHAN	02:50:22	SEM	240	525	TOBESPORT	17:34:14	00:43:35	01:15:54	00:50:53	00:43:35	01:15:54	00:50:53
542	883			Florian MICHEL	02:50:26	SEM	241	526	LEMAN TRIATHLON CLUB	17:34:17	00:33:53	01:17:56	00:58:35	00:33:53	01:17:56	00:58:35
543	616			Carole THOUE	02:50:30	SEF	13	17	MONTFORT MERE TRI	17:34:22	00:43:10	01:14:18	00:53:01	00:43:10	01:14:18	00:53:01
544	342			Eloise MONNIER	02:50:31	SEF	14	18	ROUEN TRI	17:34:23	00:42:11	01:19:07	00:49:12	00:42:11	01:19:07	00:49:12
545	569			Damien LETESSIER	02:50:35	SEM	242	527	WILD TEAM TRI	17:34:27	00:42:47	01:15:51	00:51:56	00:42:47	01:15:51	00:51:56
546	940			Jean Pierre POTIER	02:50:38	VEM	281	528	VELIZY TRI	17:34:30	00:42:09	01:12:36	00:55:52	00:42:09	01:12:36	00:55:52
547	506			Cyrille BRIAND	02:50:41	VEM	282	529	BEST TRI SAINT NAZAIRE	17:34:32	00:41:59	01:17:02	00:51:39	00:41:59	01:17:02	00:51:39
548	126			Alain EGEE	02:50:44	VEM	283	530	TRI COTE D AMOUR	17:34:35	00:44:12	01:09:14	00:57:17	00:44:12	01:09:14	00:57:17
549	405			Jean Christophe AUDE	02:50:46	VEM	284	531	MEUDON TRI	17:34:38	00:37:57	01:18:38	00:54:11	00:37:57	01:18:38	00:54:11
550	961			Elfrid MOYON	02:50:51	VEF	4	19	LA ROCHE VENDEE TRI	17:34:42	00:41:33	01:18:25	00:50:51	00:41:33	01:18:25	00:50:51
551	773			Ludovic BOCQUIER	02:50:51	SEM	243	532	LA CHAPELLE-SUR-ERDRE	17:34:42	00:42:59	01:19:56	00:47:54	00:42:59	01:19:56	00:47:54
552	13			Raoul PRELY	02:50:52	SEM	244	533	NANTES	17:34:44	00:35:45	01:21:44	00:53:22	00:35:45	01:21:44	00:53:22
553	676			Fabien BACHIR	02:50:54	SEM	245	534	SAINT-GERMAIN-DE-LA-GRANGE	17:34:46	00:32:44	01:21:27	00:56:43	00:32:44	01:21:27	00:56:43
554	294			Nicolas FONTENEAU	02:50:55	VEM	285	535	MAT 72  LE MANS ASSOCIATION TRIA	17:34:47	00:39:42	01:20:18	00:50:53	00:39:42	01:20:18	00:50:53
555	22			Benoit GOURE	02:51:03	VEM	286	536	SAINT HERBLAIN TRI	17:34:55	00:39:02	01:17:53	00:54:08	00:39:02	01:17:53	00:54:08
556	411			Nina NICOLAS	02:51:11	SEF	15	20	EPPG TRI CLUB 93	17:35:02	00:41:17	01:19:23	00:50:30	00:41:17	01:19:23	00:50:30
557	412			Arnaud TORA	02:51:11	SEM	246	537	EPPG TRI CLUB 93	17:35:03	00:31:47	01:28:53	00:50:30	00:31:47	01:28:53	00:50:30
558	318			Caroline PRIGENT	02:51:22	SEF	16	21	PARIS SPORT CLUB	17:35:13	00:40:24	01:19:24	00:51:32	00:40:24	01:19:24	00:51:32
559	484			Catherine ROUGERON	02:51:22	VEF	5	22	BEST TRI SAINT NAZAIRE	17:35:14	00:41:11	01:19:00	00:51:11	00:41:11	01:19:00	00:51:11
560	47			Vincent DENIAUD	02:51:28	VEM	287	538	TRI CLUB CLISSONNAIS	17:35:20	00:40:19	01:15:35	00:55:32	00:40:19	01:15:35	00:55:32
561	614			Gregoire MAHE	02:51:32	SEM	247	539	NOGENT SOLIDARITE TRI	17:35:24	00:36:41	01:20:07	00:54:43	00:36:41	01:20:07	00:54:43
562	154			Olivia THEAUD	02:51:45	VEF	6	23	TRI COTE D AMOUR	17:35:37	00:40:13	01:21:41	00:49:50	00:40:13	01:21:41	00:49:50
563	702			Pierrick GEORGE	02:51:52	SEM	248	540	VALEO ANGERS	17:35:43	00:40:01	01:18:01	00:53:49	00:40:01	01:18:01	00:53:49
564	635			Valerie CHEMINEAU RAGON	02:52:02	VEF	7	24	CA VILLENAVE D ORNON TRI	17:35:53	00:39:40	01:20:07	00:52:14	00:39:40	01:20:07	00:52:14
565	120			Julien BODIGUEL	02:52:06	VEM	288	541	TRI COTE D AMOUR	17:35:58	00:38:15	01:19:14	00:54:36	00:38:15	01:19:14	00:54:36
566	19			Gilles DUFLOUX	02:52:10	VEM	289	542	SAINT HERBLAIN TRI	17:36:02	00:49:45	01:17:43	00:44:42	00:49:45	01:17:43	00:44:42
567	791			Jean-Christophe TANGUY	02:52:11	SEM	249	543	NANTES	17:36:03	00:40:34	01:25:54	00:45:42	00:40:34	01:25:54	00:45:42
568	938			Pascal NADON	02:52:18	VEM	290	544	VELIZY TRI	17:36:10	00:42:10	01:15:27	00:54:40	00:42:10	01:15:27	00:54:40
569	933			Malik ADELL	02:52:22	VEM	291	545	VELIZY TRI	17:36:13	00:42:11	01:15:37	00:54:33	00:42:11	01:15:37	00:54:33
570	830			Duncan LOW	02:52:25	VEM	292	546	COURBEVOIE	17:36:17	00:40:57	01:16:38	00:54:49	00:40:57	01:16:38	00:54:49
571	50			Jean Gael ARZUR	02:52:32	SEM	250	547	TRI CLUB NANTAIS	17:36:23	00:44:00	01:18:43	00:49:47	00:44:00	01:18:43	00:49:47
572	881			Abdel ELHAJOUI	02:52:38	SEM	251	548	PARIS	17:36:30	00:37:52	01:23:24	00:51:21	00:37:52	01:23:24	00:51:21
573	471			Benoit POTTIER	02:52:47	VEM	293	549	BOUGUENAIS CLUB TRI	17:36:39	00:35:54	01:24:59	00:51:53	00:35:54	01:24:59	00:51:53
574	892			Antoine ETOUBLEAU	02:52:47	SEM	252	550	USA TRIATHLON	17:36:39	00:43:06	01:20:17	00:49:23	00:43:06	01:20:17	00:49:23
575	898			Valerie CATHRIN	02:52:57	VEF	8	25	MANITOU |	17:36:48	00:45:50	01:14:02	00:53:04	00:45:50	01:14:02	00:53:04
576	902			Laurent CUVELIER	02:52:57	SEM	253	551	TOBESPORT CORSICA MANITOU |	17:36:49	00:43:38	01:21:17	00:48:01	00:43:38	01:21:17	00:48:01
577	610			Charlotte HELLE	02:53:10	JUF	2	26	OLYMPIQUE CLUB CESSONNAIS DE NATATION	17:37:02	00:40:37	01:19:22	00:53:10	00:40:37	01:19:22	00:53:10
578	804			Guenole AUMONT	02:53:10	SEM	254	552	PARIS	17:37:02	00:43:04	01:16:39	00:53:26	00:43:04	01:16:39	00:53:26
579	2			Danielle DEPOUET	02:53:13	VEF	9	27	SAINT HERBLAIN TRI CONSEIL DEPARTEMENTAL |	17:37:05	00:42:13	01:20:05	00:50:55	00:42:13	01:20:05	00:50:55
580	217			Thomas CORNE-VINEY	02:53:15	SEM	255	553	TOBESPORT	17:37:07	00:44:09	01:22:33	00:46:33	00:44:09	01:22:33	00:46:33
581	661			Christophe GALLET	02:53:28	VEM	294	554	PLESSIS ROBINSON	17:37:19	00:40:50	01:20:25	00:52:12	00:40:50	01:20:25	00:52:12
582	594			Geraldine TIZON	02:53:28	SEF	17	28	SAINT GREGOIRE TRI	17:37:20	00:38:55	01:24:07	00:50:25	00:38:55	01:24:07	00:50:25
583	600			Mathieu NAUDIN	02:53:33	SEM	256	555	RACING MULTI ATHLON	17:37:24	00:38:36	01:21:19	00:53:37	00:38:36	01:21:19	00:53:37
584	461			Sebastien CONTE	02:53:34	VEM	295	556	NANTES TRI	17:37:26	00:43:08	01:23:27	00:46:59	00:43:08	01:23:27	00:46:59
585	49			Jacky ARNAUD	02:53:39	VEM	296	557	TRI CLUB NANTAIS	17:37:30	00:43:22	01:18:39	00:51:37	00:43:22	01:18:39	00:51:37
586	56			Natacha BRODIN	02:53:41	SEF	18	29	TRI CLUB NANTAIS	17:37:32	00:36:15	01:24:53	00:52:31	00:36:15	01:24:53	00:52:31
587	229			Florian KUNG	02:53:49	SEM	257	558	TOBESPORT	17:37:40	00:38:53	01:22:19	00:52:35	00:38:53	01:22:19	00:52:35
588	852			Jacques DIDIER	02:53:49	VEM	297	559	ANTONY NATATION SECTION TRIATHLON	17:37:41	00:43:43	01:18:12	00:51:53	00:43:43	01:18:12	00:51:53
589	719			Olivier DOMAIGNE	02:53:49	VEM	298	560	RACC TRIATHLON NANTES	17:37:41	00:44:08	01:19:02	00:50:39	00:44:08	01:19:02	00:50:39
590	43			Sylvain MORICE	02:53:53	VEM	299	561	TRI ATLANTIQUE CARQUEFOU	17:37:45	00:44:06	01:16:50	00:52:56	00:44:06	01:16:50	00:52:56
591	969			Marcel AVERTY	02:53:53	VEM	300	562	ST JEAN DE MONTS VENDEE TRI ATHLETISME	17:37:45	00:40:24	01:21:50	00:51:38	00:40:24	01:21:50	00:51:38
592	218			Cyrille DE L EPINE	02:53:58	VEM	301	563	TOBESPORT	17:37:50	00:40:33	01:20:34	00:52:50	00:40:33	01:20:34	00:52:50
593	228			Christine JAMES	02:54:03	VEF	10	30	TOBESPORT	17:37:55	00:38:53	01:25:45	00:49:25	00:38:53	01:25:45	00:49:25
594	414			Pascal MAILLY	02:54:04	VEM	302	564	TRI SANNOIS FRANCONVILLE	17:37:55	00:43:39	01:16:30	00:53:54	00:43:39	01:16:30	00:53:54
595	87			Mathieu LE MASNE	02:54:14	VEM	303	565	TRI CLUB NANTAIS	17:38:06	99:99:99	02:04:10	00:50:04	99:99:99	02:04:10	00:50:04
596	53			Paul BEBON	02:54:19	SEM	258	566	TRI CLUB NANTAIS	17:38:11	00:35:27	01:19:07	00:59:44	00:35:27	01:19:07	00:59:44
597	739			Thomas ROSENSTIEHL	02:54:26	SEM	259	567	CRAN-GEVRIER	17:38:18	00:46:34	01:18:01	00:49:50	00:46:34	01:18:01	00:49:50
598	658			Annie PEDRONO	02:54:27	VEF	11	31	TRIATHLON CLUB LOCMINE	17:38:19	00:41:52	01:26:26	00:46:08	00:41:52	01:26:26	00:46:08
599	205			Jerome HAUTTEMENT	02:54:35	VEM	304	568	SAUMUR TEAM TRI	17:38:27	00:44:15	01:15:44	00:54:36	00:44:15	01:15:44	00:54:36
600	374			Justine CHAPUIS	02:54:43	SEF	19	32	COURBEVOIE TRI	17:38:35	00:42:18	01:21:03	00:51:21	00:42:18	01:21:03	00:51:21
601	68			Francois-Xavier DURAND	02:54:43	VEM	305	569	TRI CLUB NANTAIS	17:38:35	00:43:11	01:20:33	00:50:59	00:43:11	01:20:33	00:50:59
602	748			Ludovic COUVRAND	02:54:57	SEM	260	570	O CLUB LA BAULE	17:38:49	00:44:44	01:17:18	00:52:54	00:44:44	01:17:18	00:52:54
603	675			Arnaud SEVE	02:55:02	SEM	261	571	FONTENAY-AUX-ROSES	17:38:54	00:39:19	01:20:25	00:55:18	00:39:19	01:20:25	00:55:18
604	51			Thibaud BAGLAND	02:55:05	SEM	262	572	TRI CLUB NANTAIS	17:38:56	00:43:03	01:19:31	00:52:30	00:43:03	01:19:31	00:52:30
605	322			Anne COULONDRE	02:55:08	VEF	12	33	STADE FRANCAIS	17:39:00	00:42:34	01:21:46	00:50:47	00:42:34	01:21:46	00:50:47
606	122			Armand Philippe CHERRUAU	02:55:13	VEM	306	573	TRI COTE D AMOUR	17:39:05	00:45:02	01:19:55	00:50:14	00:45:02	01:19:55	00:50:14
607	708			Arnaud COULON	02:55:13	VEM	307	574	NANTES	17:39:05	00:46:45	01:15:13	00:53:15	00:46:45	01:15:13	00:53:15
608	597			Laurent GAILLARD	02:55:16	VEM	308	575	SAINT GREGOIRE TRI	17:39:08	00:39:34	01:19:21	00:56:21	00:39:34	01:19:21	00:56:21
609	206			Jeremie THIEVIN	02:55:18	SEM	263	576	SEGRE ESSHA TRI	17:39:09	00:43:41	01:21:01	00:50:35	00:43:41	01:21:01	00:50:35
610	59			Xavier PELLOQUIN	02:55:30	SEM	264	577	TRI CLUB NANTAIS	17:39:21	00:37:55	01:22:57	00:54:37	00:37:55	01:22:57	00:54:37
611	295			Serge GOHIER	02:55:32	VEM	309	578	MAT 72  LE MANS ASSOCIATION TRIA	17:39:24	00:42:05	01:17:49	00:55:37	00:42:05	01:17:49	00:55:37
612	1006			Pierre MICHALOWSKI	02:55:35	VEM	310	579	ESPERANCE CHARTRES DE BRETAGNE	17:39:26	00:43:47	01:16:56	00:54:51	00:43:47	01:16:56	00:54:51
613	422			Olivier BERTONNIER	02:55:36	VEM	311	580	ASTC THALES	17:39:28	00:43:28	01:22:06	00:50:02	00:43:28	01:22:06	00:50:02
614	256			Jerome CHERRUAULT	02:55:44	VEM	312	581	LAVAL TRI CLUB	17:39:35	00:44:05	01:21:56	00:49:42	00:44:05	01:21:56	00:49:42
615	871			Antoine DEVILLERS	02:55:52	SEM	265	582	TNT EZANVILLE	17:39:43	00:41:29	01:25:21	00:49:01	00:41:29	01:25:21	00:49:01
616	432			Sterenn DANIEL	02:55:56	SEF	20	34	TEAM CONCARNEAU TRIATHLON	17:39:48	00:42:25	01:21:39	00:51:52	00:42:25	01:21:39	00:51:52
617	37			Loic EHANNO	02:55:58	VEM	313	583	TRI ATLANTIQUE CARQUEFOU	17:39:50	00:39:04	01:27:22	00:49:31	00:39:04	01:27:22	00:49:31
618	895			Etienne GUERCHE	02:56:07	SEM	266	584	TOURS	17:39:58	00:46:28	01:20:07	00:49:30	00:46:28	01:20:07	00:49:30
619	915			Stephane ARBLADE	02:56:09	VEM	314	585	POISSY TRI	17:40:01	00:47:37	01:14:02	00:54:29	00:47:37	01:14:02	00:54:29
620	48			Yann LEMOINE	02:56:09	SEM	267	586	TRI CLUB CLISSONNAIS	17:40:01	00:35:53	01:22:33	00:57:43	00:35:53	01:22:33	00:57:43
621	75			Cedric GUEGAN	02:56:12	SEM	268	587	TRI CLUB NANTAIS	17:40:03	00:43:03	01:22:24	00:50:43	00:43:03	01:22:24	00:50:43
622	426			Lambert DESCOTTES	02:56:16	SEM	269	588	E  C  SARTROUVILLE	17:40:08	00:43:26	01:29:53	00:42:57	00:43:26	01:29:53	00:42:57
623	582			David ROBINET	02:56:17	SEM	270	589	TUVB TRI	17:40:08	00:45:58	01:21:47	00:48:30	00:45:58	01:21:47	00:48:30
624	558			Coralie GOMES	02:56:20	SEF	21	35	YPRL SAINT CYR TRI	17:40:11	00:43:51	01:25:02	00:47:26	00:43:51	01:25:02	00:47:26
625	196			Sandrine SUZANNE	02:56:24	VEF	13	36	ASPTT ANGERS	17:40:16	00:44:33	01:22:02	00:49:48	00:44:33	01:22:02	00:49:48
626	800			Jocelyn ALLAIRE	02:56:32	VEM	315	590	PARIS	17:40:24	00:47:03	01:22:04	00:47:25	00:47:03	01:22:04	00:47:25
627	89			Camille LEBUGLE	02:56:43	SEM	271	591	TRI CLUB NANTAIS	17:40:35	00:42:06	01:20:30	00:54:06	00:42:06	01:20:30	00:54:06
628	45			Jean-Michel WATTEBLED	02:56:55	VEM	316	592	TRI ATLANTIQUE CARQUEFOU	17:40:47	00:46:14	01:22:38	00:48:02	00:46:14	01:22:38	00:48:02
629	707			Matthieu JOUBERT	02:56:58	SEM	272	593	NANTES	17:40:50	00:42:00	01:26:06	00:48:52	00:42:00	01:26:06	00:48:52
630	931			Jean-Marc LEGENTIL	02:57:01	VEM	317	594	TRI CLUB ST QUENTIN EN YVEL	17:40:53	00:41:43	01:25:17	00:50:00	00:41:43	01:25:17	00:50:00
631	149			Claude SEZNEC	02:57:03	VEF	14	37	TRI COTE D AMOUR	17:40:54	00:41:04	01:20:53	00:55:05	00:41:04	01:20:53	00:55:05
632	238			Philippe TALAUD	02:57:03	SEM	273	595	TOBESPORT	17:40:55	00:39:11	01:23:42	00:54:09	00:39:11	01:23:42	00:54:09
633	41			Gaetan LELOUP	02:57:04	VEM	318	596	TRI ATLANTIQUE CARQUEFOU	17:40:56	00:45:19	01:26:40	00:45:04	00:45:19	01:26:40	00:45:04
634	858			Niels GOMONT	02:57:04	SEM	274	597	PARIS	17:40:56	00:46:53	01:22:47	00:47:23	00:46:53	01:22:47	00:47:23
635	990			Virginie PELLETIER	02:57:07	SEF	22	38	CLUB YERROIS DE TRI 91	17:40:59	00:40:31	01:21:45	00:54:50	00:40:31	01:21:45	00:54:50
636	80			Yannick HUIBAN	02:57:08	VEM	319	598	TRI CLUB NANTAIS	17:40:59	00:44:41	01:22:21	00:50:05	00:44:41	01:22:21	00:50:05
637	668			Jerome BOIVENT	02:57:09	SEM	275	599	DERVAL	17:41:01	00:44:16	01:22:50	00:50:03	00:44:16	01:22:50	00:50:03
638	626			Philippe BOUVET	02:57:14	VEM	320	600	IRON SPORT BORDEAUX	17:41:06	00:47:10	01:17:19	00:52:44	00:47:10	01:17:19	00:52:44
639	634			Marie Christine DELILLE	02:57:14	VEF	15	39	CA VILLENAVE D ORNON TRI	17:41:06	00:41:49	01:22:40	00:52:45	00:41:49	01:22:40	00:52:45
640	749			Guillaume LE MOUILLOUR	02:57:16	SEM	276	601	VANNES	17:41:08	00:37:21	01:24:48	00:55:06	00:37:21	01:24:48	00:55:06
641	503			Franck CHEVAL	02:57:20	VEM	321	602	BEST TRI SAINT NAZAIRE	17:41:12	00:42:02	01:20:05	00:55:11	00:42:02	01:20:05	00:55:11
642	165			Alban DRUBIGNY	02:57:37	VEM	322	603	TRI VELOCE SAINT SEBASTIEN	17:41:29	00:42:40	01:18:55	00:56:01	00:42:40	01:18:55	00:56:01
643	150			Philippe TABOURDEAU CARPENTIE	02:57:38	VEM	323	604	TRI COTE D AMOUR	17:41:30	00:41:49	01:19:30	00:56:17	00:41:49	01:19:30	00:56:17
644	300			Laurent PORCHER	02:57:43	VEM	324	605	MAT 72  LE MANS ASSOCIATION TRIA	17:41:34	00:45:48	01:15:47	00:56:07	00:45:48	01:15:47	00:56:07
645	567			Edouard NUTTIN	02:57:47	SEM	277	606	WILD TEAM TRI	17:41:39	00:38:20	01:25:46	00:53:40	00:38:20	01:25:46	00:53:40
646	587			Stephane MAURER	02:57:47	VEM	325	607	TOBESPORT CORSICA	17:41:39	00:43:33	01:18:17	00:55:56	00:43:33	01:18:17	00:55:56
647	778			Philippe AUDUREAU	02:57:50	VEM	326	608	LA CHAPELLE-SUR-ERDRE	17:41:41	00:42:18	01:27:34	00:47:57	00:42:18	01:27:34	00:47:57
648	1000			Franck POTIER	02:58:06	VEM	327	609	PESSAC AVENTURE TRIATHLON	17:41:57	00:39:58	01:21:35	00:56:32	00:39:58	01:21:35	00:56:32
649	25			Yohann LE MAGUERESSE	02:58:13	SEM	278	610	SAINT HERBLAIN TRI	17:42:05	00:52:37	01:25:48	00:39:47	00:52:37	01:25:48	00:39:47
650	568			Didier MORISSEAU	02:58:20	VEM	328	611	WILD TEAM TRI	17:42:12	00:44:38	01:20:58	00:52:43	00:44:38	01:20:58	00:52:43
651	710			Romain SAUTRAU	02:58:32	SEM	279	612	PARIS	17:42:24	00:42:21	01:28:57	00:47:13	00:42:21	01:28:57	00:47:13
652	470			Sebastien PRIMAULT	02:58:39	SEM	280	613	BOUGUENAIS CLUB TRI	17:42:30	00:44:41	01:22:03	00:51:54	00:44:41	01:22:03	00:51:54
653	1029			Guillaume TEN HAVE	02:58:41	SEM	281	614	LEVALLOIS-PERRET	17:42:33	00:38:14	01:26:26	00:54:00	00:38:14	01:26:26	00:54:00
