Rg	Dos.	Favoris	Vidéo	NOM Prénom	Tps	Cat	Rg/Cat	Rg/S	Equipe	TOD	Swim	Cycle	Run	Swim	Cycle	Run
141	562			Bertrand TRUFFANDIER	02:29:35	SEM	88	136	WILD TEAM TRI	17:13:27	00:37:03	01:11:32	00:40:58	00:37:03	01:11:32	00:40:58
142	180			Frederic BROSSARD	02:29:36	VEM	45	137	TRI CLUB NANTAIS	17:13:27	00:36:40	01:11:11	00:41:44	00:36:40	01:11:11	00:41:44
143	689			Matthieu COUTURIER	02:29:36	SEM	89	138	NANTES	17:13:28	00:31:00	01:10:11	00:48:25	00:31:00	01:10:11	00:48:25
144	452			Frederic PROVENT	02:29:40	SEM	90	139	PAYS D ANCENIS CLUB TRI 44	17:13:32	00:37:57	01:10:06	00:41:36	00:37:57	01:10:06	00:41:36
145	329			Charles KOBRYNE	02:29:42	SEM	91	140	UNION ATHLETIQUE SOCIETE GENERALE	17:13:33	00:34:36	01:10:55	00:44:10	00:34:36	01:10:55	00:44:10
146	61			Emmanuel CAVELLEC	02:29:42	VEM	46	141	TRI CLUB NANTAIS	17:13:34	00:35:58	01:10:51	00:42:51	00:35:58	01:10:51	00:42:51
147	743			Benjamin SIOU	02:29:43	SEM	92	142	LE MANS	17:13:35	00:42:10	01:10:33	00:36:59	00:42:10	01:10:33	00:36:59
148	245			Christian BEAUDOIN	02:29:43	VEM	47	143	CHATEAU GONTIER TRI	17:13:35	00:35:39	01:10:35	00:43:28	00:35:39	01:10:35	00:43:28
149	487			Guillaume PERRAY	02:29:44	SEM	93	144	BEST TRI SAINT NAZAIRE	17:13:36	00:34:08	01:14:30	00:41:04	00:34:08	01:14:30	00:41:04
150	385			Ludovik ROCQUET	02:29:48	SEM	94	145	COURBEVOIE TRI	17:13:39	00:35:48	01:11:08	00:42:50	00:35:48	01:11:08	00:42:50
151	775			Christophe MAIRE	02:29:50	SEM	95	146	PARIS	17:13:41	00:35:22	01:10:05	00:44:22	00:35:22	01:10:05	00:44:22
152	27			Antonin MENARD	02:29:56	SEM	96	147	SAINT HERBLAIN TRI	17:13:48	00:33:22	01:12:01	00:44:33	00:33:22	01:12:01	00:44:33
153	356			Alexandre GUYON	02:29:57	VEM	48	148	SAINTE GENEVIEVE TRI	17:13:48	00:36:12	01:11:48	00:41:56	00:36:12	01:11:48	00:41:56
154	31			Thomas LEBLOIS	02:29:57	VEM	49	149	SNLS44	17:13:49	00:34:45	01:11:13	00:43:59	00:34:45	01:11:13	00:43:59
155	942			Freddy BARATON	02:29:59	SEM	97	150	VERSAILLES TRI	17:13:51	00:38:01	01:12:23	00:39:34	00:38:01	01:12:23	00:39:34
156	69			Florent FABRE	02:30:03	SEM	98	151	TRI CLUB NANTAIS	17:13:54	00:36:35	01:11:38	00:41:49	00:36:35	01:11:38	00:41:49
157	473			Steve BANCHAREL	02:30:06	SEM	99	152	BOUGUENAIS CLUB TRI	17:13:58	00:32:28	01:09:19	00:48:18	00:32:28	01:09:19	00:48:18
158	508			Christophe VOURCH	02:30:07	VEM	50	153	ATHLETIC RETZ SUD LAC	17:13:59	00:38:55	01:10:43	00:40:28	00:38:55	01:10:43	00:40:28
159	821			Geoffroy GICQUEAU	02:30:08	SEM	100	154	USA TRIATHLON	17:14:00	00:36:26	01:10:01	00:43:40	00:36:26	01:10:01	00:43:40
160	386			Thomas POZZO DI BORGO	02:30:08	SEM	101	155	COURBEVOIE TRI	17:14:00	00:31:46	01:09:48	00:48:34	00:31:46	01:09:48	00:48:34
161	74			Raphael GROSS	02:30:09	SEM	102	156	TRI CLUB NANTAIS	17:14:01	00:32:27	01:14:43	00:42:58	00:32:27	01:14:43	00:42:58
